id,order_id,product_id,quantity,sale_amount
1,1,9,7,100
2,1,8,8,500
6,2,9,3,225
7,2,5,9,240
8,2,5,10,180
9,2,6,3,60
11,3,1,9,7000
16,4,1,4,5000
17,4,2,8,7200
21,5,6,2,100
22,5,7,3,15
26,6,4,9,140
27,6,9,4,250
28,6,3,2,300
31,7,5,8,300
32,7,9,6,250
33,7,8,2,400
36,8,1,6,2000
37,8,1,10,6000
38,8,3,2,50
41,9,8,9,200
42,9,3,3,150
43,9,7,2,105
44,9,10,5,30
46,10,9,9,225
47,10,1,7,8000
48,10,3,6,500
51,11,7,5,90
52,11,9,8,125
53,11,3,9,100
56,12,2,7,7200
57,12,1,5,8000
58,12,6,9,160
59,12,8,9,350
60,12,8,4,400
61,13,9,4,175
62,13,2,6,800
66,14,1,5,1000
67,14,4,7,490
71,15,9,6,125
72,15,5,9,240
